Recurrent Neural Networks:
itr -> 1, error -> [17642254.67422013]
itr -> 2, error -> [15568930.30230828]
itr -> 3, error -> [13625205.93039641]
itr -> 4, error -> [11811081.55848453]
itr -> 5, error -> [10126557.18657263]
itr -> 6, error -> [8571632.81466073]
itr -> 7, error -> [7146308.44274882]
itr -> 8, error -> [5850584.0708369]
itr -> 9, error -> [4684459.69892496]
itr -> 10, error -> [3647935.32701303]
itr -> 11, error -> [2741010.95510108]
itr -> 12, error -> [1963686.58318913]
itr -> 13, error -> [1315962.21127718]
itr -> 14, error -> [797837.83936522]
itr -> 15, error -> [409313.46745327]
itr -> 16, error -> [150389.09554132]
itr -> 17, error -> [21064.56913876]
itr -> 18, error -> [0.08232054]
itr -> 19, error -> [0.08239109]
itr -> 20, error -> [0.08239109]
itr -> 21, error -> [0.08239109]
itr -> 22, error -> [0.08239109]
itr -> 23, error -> [0.08239109]
itr -> 24, error -> [0.08239109]
itr -> 25, error -> [0.08239109]
